id,latin_word,czech_translation
358,appono,"prostřít (stůl) ; předkládat, nosit na stůl, posloužit, servírovat ; přidávat, přidělovat ; přidružit, přikázat"
359,approbo,"souhlasit s čím, schvalovat co ; dokazovat, stvrzovat, potvrdit"
360,apud,"u, při (u místních jmen, jmen národů) ; u, při (u osobních jmen) ; u (koho), v příbytku / bytě / domě koho ; u (koho), ve spisech, v díle (koho) ; před, v přítomnosti ; u, za (časově) ; podle soudu (koho)"
361,apud,"u, v (se jménem kostela či kláštera) ; k čemu, do čeho ; v (místně) ; od koho (něco přijmout apod.) ; s kým, spolu s kým ; čím, s čím, prostřednictvím čeho ; s čím (uvozuje pocit: s velkou bolestí apod.)	LMALB, MLLM"
362,apud praesentiam,před kým
363,apud sedem apostolicam,k apoštolskému stolci (LMALB)
364,apud vulgus,lidově (lidově se nazývat tak a tak apod.)
365,aquatio,"opatřování vody, doprava vody"
366,aquila,"orel, orlice ; orel, znak římské legie ; orel (nástřešní ozdoba)	Pražák nic víc"
367,aquila,"orel, znak římské legie"
368,aratura propria,orné pozemky
369,arbitrium,"vůle, libovůle"
370,arca,archa
371,arcanum,"tajemství, tajnost"
372,arcanus,"uzavřený, skrytý, tajný ; tajemný"
373,arcem efficere,vytvářet pevnost
374,arcesso,"přivolat, povolat"
375,arcesso,povolat
376,arcesso,"přivolat, povolat, zavolat"
377,ardeo,"shořet, být spálen, zahořet"
378,Arduena,Arduenský les
379,Arelate,Arles	tak Říčan
380,arguo,"dokázat, prokázat, dolíčit, doložit ; vyvrátit, vyvracet, ukázat něco jako liché, usvědčit ; vinit, obviňovat, nařknout, klást za vinu"
381,archanus,tajný	klas. arcanus
382,archidiaconus,arcijáhen
383,archiepiscopus,arcibiskup
384,aridum,"sucho, souš, suchá země"
385,aries,trám
386,arma ponere,složit zbraň
387,armamentum,lodní výzbroj
388,armatus,ozbrojený
389,armo,"vyzbrojit, vypravit"
390,arroganter,zpupně
391,arrogantia,domýšlivost
392,arrogantiam sumere,stát se domýšlivým
393,articulum fidei,článek víry
394,articulus,"ohbí, kloub"
395,artificium,"dovednost, řemeslo, umění"
396,artus,pevný
397,artus,"úzký, těsný ; stísněný ; hustý, nabitý (hosty) ; pevný ; sklíčený ; skrovný, nuzný"
398,arx,pevnost
399,ascendo,"vystoupit, vylézt"
400,Ascensio Domini,Nanebevstoupení Páně
401,ascensus,"vzestup, vystupování, výstup"
402,ascribo,"připsat, připojit, přidat (do listiny) ; zařadit koho kam, počítat koo mezi, přijmout ; ustanovovat, zřizovat ; připisovat, přičítat komu co ; přivlastňovat komu co"
403,aspidus???,v Pražákovi nenal.
404,assero,"přiřazovat, připojovat ; prohlašovat, tvrdit ; přivlastňovat, osobovat si co"
405,assero,"potvrdit, dotvrdit, podpořit, podložit, podbudovat? (DZ ex RS 53:8, v souladu s překladem Duvernoy, kt. uvádí asseoir, což je ""posílit, posadit, usadit, upevnit"" aj. a s tímto lat. slovem etymologicky souvisí)"
406,assero,"připojovat, přiřadit, prohlásit za ; přivlastňovat ; tvrdit, prohlašovat"
407,assero,"připojovat, přiřazovat ; brát v ochranu ; přiřknout, přislíbit ; tvrdit, říkat ; mluvit ; prohlašovat za (zejm. za otroka či svobodného ; přivlastňovat si co, osobovat si co, prohlašovat koho za co ; prohlašovat, tvrdit, jistit	Pražák a LMALB"
408,assero,sázet podél
409,assertus,"přiřčený, ustanovený ; tak řečený, tak zvaný, údajný"
410,assevero,"vážně, opravdově jednat ; tvrdit (vážně, opravdově, s jistotou), ubezpečovat, ujišťovat o čem, dokládat ; dosvědčovat, dokládat co, svědčit o čem"
411,assisto,"přistupovat, pomáhat ; být přítomen"
412,assisto,"přistupovat, stát"
413,assisto,"stavět se, stanout, přistoupit, stát u, být přítomen ; pomáhat (přen.)"
414,assuefacio,"zvykat si, navykat, učit"
415,assuefacio,"zvykat, navykat"
416,assumere crucem,"vzít na sebe kříž ; podniknout křížovou výpravu, vypravit se na křížové tažení"
417,assumo,"brát, přibírat, nabírat, přijímat ; přidružovat, připojovat ; osvojit si, přijmout (sirotka do péče ap.) ; získat si, osvojit si ; dávat si, přikládat si ; osobovat si, přivlastňovat si, činit si nárok na co, vyhrazovat si	Pražák, LMALB, DZ"
418,assumo,"vzít na sebe co, ujmout se čeho ; brát, brát si, požívat (lék, pokrm) ; vzít na nebe ; uvést jako druhou návěst (fil.) ; přijmout (tělo z Marie Panny) ; přijímat (tělo a krev Páně) ; 	Pražák, LMALB, DZ"
419,assumptio,nanebevstoupení
420,assuo,přišívat
421,asto,"stát u čeho n. vedle čeho ; zpříma stát, trčet, strmět"
422,asto,"stát u čeho n. vedle čeho ; zpříma stát, trčet, strmět ; stát, trvat"
423,astringo,"utahovat, zadrhovat, zavazovat ; stahovat, svazovat, svírat ; v pas. tuhnout, křehnout ; poutat, vázat, zavázat (duševně, mravně) ; omezovat, držet v mezích"
424,astrolabium,astroláb
425,at,"ale, však, avšak"
426,at,"ale, však, avšak, přece alespoň"
427,at,"ale, však, za to"
428,at,alespoň
429,at,"naproti tomu, ale, však, zato"
430,at,přece alespoň
431,atramentarium,kalamář
432,attendo,"natahovat, napínat k čemu ; napínat mysl, pozornost, dávat pozor ; pozorně poslouchat, pozorovat (+ ak.)"
433,attente,"pozorně, bedlivě, napjatě"
434,attingo,"dotýkat se, sahat"
435,attribuo,přidělit
436,attribuo,"(MLLM nic, ani pod atribuo)"
437,attribuo,"přičítat, klást (za vinu apod.), klást na vrub"
438,attribuo,"přidělit ; přidávat, dávat, přidělovat ; přikazovat ; přidělovat, určit, vykázat (např. místo komu) ; podřizovat (koho komu), odevzdat vládu (komu) ; přidělit, svěřit, dát ; ukládat, uložit, vykázat (komu co) ; přičítat, klást (za vinu apod.), klást na vr"
439,attribuo,"přidělovat, přidávat	LMALB nic víc"
440,attribuo,připisovat komu co (v myšlenkách)??? (DZ ; takto snad v RS 49:13)
441,Auallonia,Avalon
442,auctor,"původce, autor"
443,auctor,"původce, autor ; napomahatel, podporovatel, podpůrce ; ručitel, dotvrditel ; rukojmí ; svědek, zpravodaj ; pramen, autorita ; dějepisec, spisovatel dějin	Pražák celkem nic moc víc"
444,auctor,"rádce, návodce, původce konání, navrhovatel, doporučitel ; stvrzovatel ; původ ; zakladatel, vynálezce ; prodávající	čes. výrazy Pražák"
445,auctoritas,"citát, autorita (biblické citáty o ustanovení zpovědi apod., takto TDH 312:12) ; stvrzení, záruka, jistota ; platnost spolehlivost, hodnověrnost ; odpovědnost ; doklad, listina ; příklad, vzor ; vážnost, vliv, váha, moc ; důraz, ráznost ; úsilí"
446,auctoritas,vážnost
447,auctoritas,"vlivná osobnost, autorita ; rada, přímluva, domluva ; vůle (vyjádřená hlasováním), nález, usnesení, rozhodnutí, schválení ; zplnomocnění, pravomoc, plná moc (i o listině) ; vlastnictví, vlastnické právo"
448,auctus,"zvětšený, zveličený"
449,audeo,"být dychtivý, dychtit, mít chuť, chtít (i v běžném významu, ne jen dychtit po nebezpečném podniku apod.) ; odhodlat se, pokusit se ; mít odvahu, smělost, drzost ; osmělit se, pokusit se, nebát se, odvážit se, opovážit se	Pražák a LMALB"
450,audio,"slyšet, zaslechnout ; dovídat se ; vyslýchat ; poslouchat, uposlechnout, být poslušen"
451,audio,"slyšet, zaslechnout ; dovídat se ; vyslýchat ; poslouchat, uposlechnout, být poslušen"
452,auditio,zpráva
453,auditor,posluchač ; žák	Pražák ani Šenková nic víc
454,aufugio,uprchnout
455,augeo,"nadsazovat, zveličovat ; obdařit, opatřit, obohatit, zahrnout čím ; povýšit, povznést, vyznamenat ; dospět, dovršit (nějaký věk)"
456,augeo,porodit
457,augeo,"zvětšovat, rozmnožovat, podporovat v růstu ; zvětšovat, zesilovat, zvyšovat ; podporovat, zvelebovat, povznášet ; oslavovat ; růst, mohutnět, vzmáhat se, nabývat moci (v pas.) ; přibývat, množit se"
458,Auinone,"Avignonet	je to fr., nebo lat?"
459,Auinone,Avignonnet
460,Auinone?,Avignonet	Šanjek
461,auriculare,polštář	MLLM
462,auriga,"vozataj, kormidelník"
463,aut,nebo
464,autem,"avšak, ale ; pak, dále ; (někdy též výplňkové slovo, které se nepřekládá)	Pražák nic víc"
465,autem,pak (výplňkové slovo)
466,autenticus,"věrohodný, autentický"
467,auxilium ferre,pomoci
468,Avallonia,Avalon
469,avaritia,"chamtivost, lakota"
470,avarus,"lakomý, lakotný, hrabivý, skoupý, hamižný, chtivý peněz ; chtivý čeho, dychtivý čeho"
471,avarus,lakomec
472,aversus,"obrácený zády, prchající"
473,averto,odchýlit
474,averto,odvrátit
475,Ax,(subst. indecl.) (geogr.) Ax (tvar Ax v AJ Biller in Heresy and Literacy a fr. někde taky tak)
476,babtisma,"křest (obvyklejší tvar baptisma, takto např. Durand)"
477,balistarius,"střelec z balisty, kamenometec, samostřelník ; kamenomet, balista ; konstruktér balisty	české výrazy Pražák"
478,balistorius,"Pražák nic, ale viz ballistarius"
479,balistorius,"(LMALB nic, ale viz ballistarius)"
480,balistorius,"(Pražák, LMALB ani MLLM přímo nic, nepochybně form. balistarius, ballistarius)"
481,ballistarius,"(české tvary samostřílník a kušištník neověřeny, samostřelník udává Pražák)"
482,ballistarius,"střelec z balisty, kamenometec, samostřelník ; kamenomet, balista ; konstruktér balisty	české výrazy Pražák"
483,ballistarius,"střelec, střelec z kuše ; zbrojnoš	LMALB"
484,ballistator,"střelec, střelec z kuše ; zbrojnoš	LMALB"
485,ballisto,střílet
486,ballistorius,"(LMALB nic, ale viz ballistarius)"
487,Balneoregensis,"bagnioregský, související s Bagnioregiem	Lansing, Power and Purity"
488,Balneoregiensis,"bagnioregský, související s Bagnioregiem	Lansing, Power and Purity"
489,baptismus,křest
490,barbarus,"barbarský, nevzdělaný, krutý, hrubý"
491,bava,slina
492,beatus,"blažený ; blahořečený, blahoslavený"
493,beatus,"blažený ; svatý (sic, svatý, ne blahoslavený: takřka si troufám říci, že ve většině pramenů je beatus, ne sanctus ; beata Maria atd.)"
494,behemat,Behemót	LMALB
495,Belasius,Blažej	tak překlad Zlaté legendy
496,belicosus,"bojovný, bojechtivý"
497,bellus,"hezký, pěkný, roztomilý ; způsobný"
498,bene,"bezvýhradně, naprosto	MLLM nic víc"
499,bene,"dobře, řádně, náležitě ; hojně (slibovat) ; dobře, velmi, hodně (u adj. a adv.)"
500,bene,"dobře, řádně, náležitě ; hojně (slibovat) ; slavně (umírat) ; dobře, velmi, hodně (u adj. a adv.) ; opravdově, pravou vírou (věřit) ; právem ; určitě, přinejmenším, jistě, nejméně (u číslovek) ; jistě, vskutku	Pražák a LMALB ; další významy jen ve spojeních"
501,bene,"klidně, třeba i??? (DZ, v LMALB ani Pražák tento význam nenal., ale srv. TDH 313:35 a jeden význ. fr. ""bien"", srv. též 313:28n.: ""v případě veliké nutnosti bene fit ab uno solo"" ; 313:36, ale to může být trochu jiné)"
502,bene,"samozřejmě, ovšem??? (viz TDH 315:17 ; LMALB ani Pražák nic, co by sem padlo ; srv. jeden z významů fr. ""bien"", které ostatně užívá Duv. Rel. 207 ve svém překladu tohoto místa)"
503,bene bis,nejednou	LMALB
504,benedico,požehnat ; zasvětit (kostel) ; vysvětit (na kněze) ; pomazat (na krále) ; modlit se ; adorovat ; dát sbohem	MLLM
505,beneficio sortium,příznivým vrhem losů
506,beneficium,"dobrodiní, laskavost"
507,benignitas,"dobrotivost, dobrota, laskavost, milost ; dobročinnost, štědrost"
508,bessea,(LMALB nic)
509,bibo,pít
510,biduum,doba dvou dní
511,biennium,dva roky
512,bini,"po dvou, dva"
513,bipartito,"na dvě strany, dvojím směrem"
514,bipedalis,dvoustopý
515,bladum,"obilí (zejm. vymlácené), zrní ; osivo, zrno k osevu"
516,blandimentum,"lichocení, úlisný způsob ; vnadidlo, lahoda, půvab"
517,blandior,"lichotit, pochlebovat ; lichotit, lahodit, vábit (k požitku)	alci"
518,blasphemia,"rouhání, urážka"
519,blaveum,"modř, modrá barva	LMALB"
520,blaveus ^1,"modrý ; způsobující modřinu (o ráně)	LMALB, DZ"
521,blaveus ^2,"(form. flaveus)	LMALB ; sic, odkaz na flaveus, ne flavens"
522,blavis,modrý	LMALB
523,blavum,"obilí (zejm. vymlácené), zrní ; osivo, zrno k osevu (form. bladum) (LMALB nic víc, zrní DZ ; kontext Fournier I, 327 vůbec neodpovídá významu obilí)"
524,blavus,(form. blaveus) (LMALB) ; žlutý (??? DZ)
525,blavus,(form. blaveus)	LMALB
526,bona cum venia,s laskavým dovolením
527,bona venia,s laskavým dovolením
528,bona voluntate,"dobrovolně, se souhlasem"
529,bona,dobrotivost
530,bona,majetek
531,bonae memoriae,blahé paměti
532,bonitas,úrodnost
533,Bononia,Bologna (město v Itálii) ; (jméno dalších obcí)
534,bonus,"dobrý ; zdatný ; pravý (o penězích) ; vhodný, příhodný, prospěšný, užitečný ; výborný, zručný, obratný, znalý ; udatný, statečný, zmužilý ; urozený ; jemný, krásný, pěkný ; hojný, značný, převážný, valný ; dobrý, zdárný, příznivý, šťastný	Pražák a LMALB"
535,bonus,"řádný, poctivý, šlechetný, počestný, čestný ; svědomitý, spolehlivý ; poctivý, nezištný ; laskavý, přívětivý, dobrotivý, vlídný, milostivý, dobromyslný ; velký, vysoký (o stáří) ; levný, laciný	Pražák a LMALB"
536,bonus,"vlastenec, dobrý občan"
537,Bosona,Bosna
538,Bossona,Bosna
539,bracae,"nohavice, široké nohavice"
540,brachium seculare n.,světská paže (světská moc)
541,brachium,"předloktí, rameno"
542,brachium,ruka ; větev
543,Brisciensis,"z Brescie, související s Brescií [neznám český tvar, ve fr. ak. sl. nenal, v Pražákovi taky ne.]"
544,Brixia,Brescia
545,Brixia,Brescia [ověřeno v Pražákovi i lat-fr]
546,brutum,"němá tvář, nerozumný tvor	LMALB"
547,brutum,"nevědomé zvíře, zvíře"
548,brutum,zvíře	DZ
549,brutus,"hloupý, těžkopádný, nerozumný, nejapný, blbý ; těžký, nehybný"
550,brutus,zvíře?	Pražák ani Šenková nic
551,buffo,"(Pražák nic, MLLM a LMALB jako sloveso taky nic, ani v okolí nic, co by mohlo souviset ; Fournier I, 273: buffavit in manu sua, faciens signum ignis, ostendens quod si hoc diceret, per hoc combureretur)"
552,buffo,"ropucha ; želva ; šašek	Pražák, MLLM, LMALB"
553,bufo,"ropucha ; želva ; šašek	Pražák, MLLM, LMALB"
554,Bulgaria,Bulharsko
555,Burdigala,"Bordeaux	Oursel, P., 3"
556,burdo,hůl
557,burellum,(druh laciné tkaniny ze směsi vlny a lnu)	LMALB
558,burellus,"(druh laciné tkaniny ze směsi vlny a lnu) (MLLM tento tvar, výklad se celkem shoduje s výkladem burellum v LMALB, jen se tu uvádí ""z hrubé vlny"", o lnu tu není zmínka)"
559,caba,kopyto (koňské)
560,cabacina,(předmět z cenného materiálu)
561,cabacium,"(Pražák nic, MLLM nic, LMALB nic, Forcellini nic, ani pod cabatium, cavacium, cavatium či cabbacium, TFTL pod caba?i* a pod cava?i* jen irelevantní výsledky, google 19.1.2004 jen jméno hradu Cabatium, PL nic pod cabaci* ani cavaci*, cavati* ani cabati*, a"
562,cabacium,"tam jsem to ani nečekal ; podle kontextu snad ranec či taška, nebo možná kabátec ; v LMALB nal. jen cabacina s opisným výkladem ""předmět"
563,cabacium,"z cenného materiálu"" ; Fournier I, 237: cabacium vel doblerium ; kabátec nal. pod tuším cabatus, snad ve Forcellini, s pozn. o reg. povaze: české země, Polsko, určitě ne v LMALB, Pražák ani MLLM, a halena, kabátec v MLLM pod dobletus)"
564,cadaver,"mrtvola, mrtvé tělo, zdechlina, mršina ; mrcha (nadávka)	Pražák a LMALB"
565,cadente die,k večeru
566,cadere a causa,"prohrát při, prohrát soudní spor"
567,cadere a feudo,ztratit právo na léno
568,cadere in deliberationem,přicházet v úvahu
569,cadere in morbum,onemocnět
570,cadere in suspicionem,upadnout v podezření
571,cado,"(in alqa re) upadat v co, upadat do čeho ; (in alqm) hodit se na koho, slušet komu ; padnout, sběhnout se, přihodit se, udát se ; dopadnout jak ; (alci) připadnout komu (o majetku)	Pražák, MLLM, DZ"
572,cado,padat
573,cado,"padat, klesat ; klesnout, zahynout ; zřítit se, být dobyt ; ochabovat, podléhat, pozbývat síly ; padnout (o svrženém vládci) ; zapadnout, upadnout v zapomnění ;"
574,cado,"padat, padnout (v šir. smyslu) ; (abl. abs.) vypadnout odkud ; padat, dopadat ; sjíždět (o blescích) ; stékat, vytékat, vtékat ; (o hvězdách) zapadat, zacházet, sklánět se k západu ;"
575,cado,"padnout, zahynout"
576,caedes,vražda
577,caementarius,zedník	MLLM nic víc ; Pražák nic
578,caemento,"stmelovat, zdít	DZ podle MLLM"
579,Calabria,Kalábrie
580,calamitas,"pohroma, zkáza"
581,calamitas,"válečná nehoda, porážka v boji"
582,calceamentum,"střevíc, bota"
583,calceus,"bota, botka (kryjící celou nohu)"
584,Caledonia,Kaledonie (dnešní Skotsko)
