id,czech_word,english_translation
786,kniha zhostná,book of copies of letters confirming abandonding of serfs
787,kniha zhostů,see kniha zhostná
788,"kniha žalob, odporů a nálezů","book of accusations, protestations and findings"
789,knihy židovských familiantů,books of Jewish familiants
790,památná kniha,see kniha pamětí
791,knihovna,library
792,Knihovna Národního muzea,The National Museum Library
793,odborná knihovna,special library
794,příruční knihovna,departmental library
795,Strahovská knihovna,Strahov Library (Library of the Royal Canonry of Premonstratensians)
796,knihovní fondy,book stacks/collection (lib.)
797,knížata z rodu Přemyslova,the princes from the House of Přemysl
798,knížectví,principality
799,knížka,see kniha
800,vojenská knížka,soldier's identification card (literally soldier's book)
801,knížní vazba,bookbinding
802,sáčková vazba,girdle-book
803,knoflíkář,button-maker
804,kňahně,"see neštovice pravé (hist., med.)"
805,kobercář,carpet-maker
806,kobyla,mare kočár carriage kočí coachman
807,kočovat,to lead a nomadic life
808,kód,code
809,kódovat,to encode
810,Kodex kanonického práva,Code of Canon Law
811,kognát,cognate (descendant on the mother's side/ distaff-side)
812,kohout,rooster
813,kolaborace,collaboration
814,kolatura,parish district
815,kolébka,cradle
816,od kolébky do hrobu,from the womb to the tomb
817,koledník,caroller
818,kolega,colleague
819,kolej1. college (hist.),"2. hall, hostel, fratemity"
820,komise,commission
821,zemská vyvazovací komise,Provincial commission for disengagement of robota
822,komnata,"bower, chamber"
823,kompaktáta,Compacts
824,kompanie,"company (military unit) (hist., milit.)"
825,kompendium,compendium
826,komplikace,complication
827,komplikace v těhotenství,complications in
828,komplikace při porodu,complication during childbirth
829,komplikace v šestinedělí,see horečka omladnic
830,komtesa,comtesse
831,Tridentský koncil,Council of Trent
832,konfirmace,1. confirmation (e.g. of a privilege)
833,řeholní kongregace,religious congregation
834,kontrola porodnosti,birth-control
835,konvent,convent
836,konzul,consul
837,kooperátor,"(literally cooperating priest) parochial vicar, chaplain"
838,kopa,threescore (unit of calculation = 60 pieces)
839,kopiář,cartulary (dipl.)
840,kopie,copy
841,ověřená kopie,authentic copy
842,kopírovat,to copy
843,kopista,copy-clerk
844,kopyta,"hooves, see also zbroj (herald.)"
845,korbel,tankard
846,korbelář,bucketmaker
847,kord,sword
848,kordule,camisole
849,český korec,"1. Bohemian korec(= 8112 square Bohemian ells = 0,285 ha), see also jitro and strych	2. Bohemian (Prague) korec(= 4 věrtels = 16 měřičkas = 93,5871)"
850,korespondence,correspondence
851,korunní princ,Crown prince
852,korunovace,coronation
853,korunovační klenoty,coronation jewels
854,kořenářka,herbalist (female)
855,kosa,scythe
856,travní kosa,grass scythe
857,kosař,scythe-maker
858,kosit,to mow
859,farní kostel,parish/parochial church
860,filiální kostel,affiliated church
861,kostelník,"sacristan, verger, church keeper, parish clerk"
862,kostižer,see zánět kostní dřeně
863,dát někomu koš(íčk)em,to jilt somebody
864,košer,kosher
865,kovosoustružník metal turner kovotepec,"metal chiseller, metal-beater koza goat, she-goat, nanny-goat"
866,kozel,"he-goat, billy goat"
867,koželuh,tanner
868,kožešina,1. fur 2. fur (heral.)
869,kožešník,furrier
870,kráčející,(literally walking) passant (e.g. lion)
871,krajový,"regional (e. g. custom, song)"
872,krajský,regional (e. g. court oflaw)
873,krajská vláda,(= regional government) see
874,krajský úřad,Regional (administrative) Office
875,kralevic,"prince, see also kníže, princ"
876,královská komora,Royal Chamber (hist.)
877,královská výsost,Her/His/Your Royal Highness
878,království,"kingdom, realm"
879,Království české,Kingdom ofBohemia
880,kráva,cow
881,zádušní kráva,"(=,,a cow of church funds"") see železná kráva"
882,železná kráva,"(= ,,iron cow"") perpetual burden, see also zádušní kráva"
883,kravař,"cowherd, cowshed hand"
884,krčmář,tavemer (male)(hist.)
885,krčmářka,tavemer (female)(hist.)
886,krejcar,"kreutzer (a smaller coin, part ofthaler) (mun.)"
887,krejčí,tailor
888,krejčová,"dressmaker, see also švadlena"
889,kremace,see pohřeb žehem
890,kresba,drawing
891,krev,blood
892,krevní msta,blood feud
893,krevní skupina,blood group
894,kriminál,"jug, jail"
895,Kristus,Christ
896,kronikář,"chronicler, annalist"
897,krtice,extrapulmonary form oftuberculosis (scro- phulosis)(med.)
898,krucifix,Crucifix
899,krutovládce,tyrant
900,krvácení,bleeding
901,krvácení do dutiny hrudní,thoracic hemorrhage (med.)
902,krvácení do dutiny osrdečníkové,pericardial hemorrhage (med.)
903,křest,"baptism, christening"
904,nouzový křest,baptism in exigency (ret.)
905,přijmout křest,to receive Christ
906,křestní,baptismal
907,křestní jméno,baptismal/Christian name (also given name)
908,svatý Kříž,"the Holy Cross, the Holy Rood"
909,křižák,crusader
910,křtící kněz,baptizing priest
911,křtiny,see křest
912,křtít,see pokřtít
913,křtitelnice,"baptistery, baptismal shell, font"
914,kšaft,see testament (hist.)
915,kšaftovat,1. to declare last will 2. see odkázat 1.
916,květen,May
917,kůl,pale (heral.)
918,kůlna,shed
919,kůň,horse
920,kupní,adj. purchasing
921,kupní cena,cost price
922,kupní smlouva,contract of purchase
923,kurát,"curate, assistant priest, parochial vicar, associate/assistant pastor"
924,polní kurát,army chaplain
925,kurděje,scurvy
926,kurent,German cursive hand (paieog.)
927,kurfiřt,elector (ofthe Holy Roman Empire)(hist.)
928,kůzle,kid
929,kvardián,guardian64
930,kvartána,see malárie čtyřdenní
931,květinářka,"florist (female), flower girl"
932,kvitance,"quittance, receipt"
933,kvitovat,"to receipt, to confirm receipt"
934,kýla,hemia
935,kyrysar,"cuirassier (hist., milit.)"
936,kyrysník,see kyrysar
937,laciný,"inexpensive, cheap"
938,lada,fallow
939,ležet ladem,to lie fallow
940,lafeta,gun-carriage
941,laický,"lay, laic"
942,laik,"layman, laic"
943,lakýrník,"painter, decorator"
944,lamač (kamene),"quarrier, stoneworker, quarryman"
945,kostelní lavice,pew
946,školní lavice,"form (in school), see also škamna"
947,laxírka,see úplavice střevní
948,leč,hunt
949,léčba,see léčení
950,léčení,"therapy, treatment"
951,papežský legát,papal legate
952,legionář,legionnaire
953,legitimační karta,legitimation card
954,legitimita,legitimacy
955,legitimní,legitimate
956,lékárník,"pharmacist, chemist, see also apatykář (male)"
957,lektor,"1. lector 2. reader, copyrighter"
958,lem,bordure (heral.)
959,lenní,feudal
960,lenní pán,"feudal lord, lord suzerain, see also feudál (hist.)"
961,lepenice,rnud-wall
962,lesnictví,"forestry, woodcraft"
963,léta,(= years) age
964,bouřlivá léta,storrny years
965,léta Páně,"in the year of God/Our Lord, (A.O.)"
966,léta panování (pontifikátu),regnal years
967,leták,"see jednolistový tisk, also letáček"
968,letnice,"Whitsun, Pentecost"
969,letopis,sing. annales
970,letopočet,"era, epoch"
971,starý letopočet,old style
972,letos,this year
973,leukémie,"leucemia, see also nádor zhoubný mízní a krvetvorné tkáně"
974,levirát,"in Jewish community, duty of man to marry a widow of his deceased brother, if she had no children"
975,levný,see laciný
976,levoboček,"bastard, left descendant"
977,ležet,to lie
978,lexikon,lexicon
979,statistický lexikon obcí,statistic lexikon of localities
980,zeměpisný lexikon,geografie lexikon
981,lhůta,"time allowance, deadline"
982,líbánky,honeymoon
983,moravská libra,"Moravian pound (= 1/100 of Moravian centnýř = 32 Moravian lots = 128 Moravian kventlíks = 0,56 kg)"
984,vídeňská libra,Viennese pound (= 32 lots)
985,líc,"right side, face"
986,líčení,see soudní líčení
987,lid,"1. people, folk 2. population"
988,lidovláda,popular government
989,lidové hlasování,plebiscite
990,lidový soud,magistrate's court
991,lidová správa,people's administration69
992,lidskost,humanity
993,lidský,human
994,mužská linie,male line
995,pobočná linie,branch/collateral line
996,přímá linie,direct line
997,vedlejší linie,see pobočná linie
998,lípa,linden
999,lipová ratolest,linden spray
1000,list,"1. letter 2. leaf, folio, sheet 3. epistle"
1001,list uzavřený,letters close
1002,vůdčí list,see řidičský průkaz
1003,listinář,"collection of diplomatic documents, edited in a critical way"
1004,litera zákona,by the letter of the law
1005,litera nedělní,dominical/Sunday letter (chron.)
1006,literární,literary
1007,literární historik,literary historian
1008,literát,see spisovatel
1009,literátka,see spisovatelka
1010,literatura,literature
1011,livrej,livery
1012,lnářství,flax-growing
1013,loď,"boat, vessel, ship"
1014,lojovník,tallower
1015,loňského roku,see loni
1016,loučné,hay-fields (term used in landed records)
1017,louka,"meadow, green/grass/hay-field"
1018,loupež,robbery
1019,lov,chase
1020,lues,lues
1021,luna,Moon
1022,lůno,womb
1023,Lužice,Lusatia
1024,lužický,Lusatian
1025,Lužický Srb,Lusatian Sorb
1026,Lužičan,Lusatian
1027,lyceum,lyceum (formerly in Bohemia a girls' school)
1028,magacín,"magazine (hist., coll.)"
1029,magisteriát,master's degree
1030,regulovaný magistrát,regulated municipality
1031,magnetofonový záznam,tape record
1032,magnificence,Magnificence (title ofrector of a university)
1033,machinace,intrigue
1034,máj,see květen
1035,majáles,May festival (of students)
1036,majestát,majesty
1037,Rudolfův majestát,the Letter of Majesty of Rudolf
1038,majetník,"owner, proprietor, possessor (hist.), see also vlastník, držitel and majitel"
1039,majetný,"wealthy, well-to-do"
1040,majitel,"holder, keeper, owner, see also držitel and vlastník (male)"
1041,majitelka,"holder, keeper, owner, see also držitel and vlastník (female)"
1042,makarónština,macaronics
1043,makléř,broker
1044,maminka,"mamma, mommy (co!!.)"
1045,man,vassal
1046,mandant,client
1047,mandel,unit of calculation (= one quarter of a sixty)
1048,manévry,"manoeuvre, field-day"
1049,na manévrech,on manoeuvres
1050,manifest,manifesto
1051,manuál,manual (book)
1052,radní manuál,manual oftown council
1053,manžel,"husband, consort, spouse"
1054,brát si za manžela (manželku),to marry ap.
1055,vzít si za manžela (manželku),to marry ap.
1056,manželka,"wife, consort, spouse"
1057,zákonná manželka,legitimate wife
1058,morganatická manželka,see morganatický
1059,smíšené manželství,mixed marriage
1060,uzavřít manželství,see uzavřít
1061,zákonné manželství,legitimate marriage
1062,gal,connubial
1063,manželské pouto,marital/conjugal bond
1064,narozen z manželského lože,bom in lawful wedlock
1065,rozloučení manželského společenství při zachování svazku,marital separation
1066,mapa,map
1067,markýza,"marquise, marchioness (British Islands)"
1068,masakr,massacre
1069,matice,cultural foundation (hist.)
1070,matka,mother
1071,matčina linie,matriline
1072,matčina strana,see matčina linie
1073,Matka Boží,Mother of God
1074,matka představená,Mother Superior
1075,nevlastní matka,see macecha
1076,matrika,"1. register (e.g. parish r., university r.)"
1077,církevní matrika,Church register
1078,státnímatrika,"state register ofbirths, marriages and deaths"
1079,máz,capacity measure (metro!.)
1080,český máz,"Bohemian máz(= 1,4151)"
1081,medicína,"medicine, see also lékařství"
1082,medikus,see lékař (hist.)
1083,mědiryt(ina),"copper-engraving, copper-plate"
1084,měďák,copper coin
1085,mechanik,"mechanic, engineer"
1086,měknutí mozku,see paralýza progresívní
1087,mendikant,subst. mendicant (rel.)
1088,mendikantský,aqj. mendicant (rel.)
1089,menšina,minority
1090,měřice,1. square measure (metro!.)
1091,moravská měřice,Moravian měřice(= 8 Moravian achtls = 700 Moravian square sáhs)
1092,moravská měřice,Moravian měřice
1093,vídeňská měřice,Viennese měřice (= 8 achtls)
1094,měřička,cubic measure (metro!.)
1095,česká měřička,"Bohemian měřička(= 1/16 of Bohemian korec= 12 žejdlíks = 5,849 )"
1096,měřit,to measure
1097,vyměřit,"to mark out, to plot out"
1098,měřítko,scale
1099,"mesaliance, mezaliance",mésalliance
1100,mesiáš,Messiah
1101,nový měsíc,see novoluní
1102,měsíčky,"menses, menstruation"
1103,městka,see žíla křečová
1104,město,"town, borough, city"
1105,hlavní město,capital (city)
1106,královské město,royal town/borough
1107,věčné město,Etemal city (Rome)
1108,věnné město,dowry town
1109,vrchnostenské město,"(= landlorďs market town) private/tributary town, subject town, see also městečko"
1110,městečko,1. market town77 or township (hist.)
1111,městská čtvrť,see čtvrť
1112,městská rada,"borough council, municipal/town council"
1113,městský obvod,ward
1114,městský úřad,municipality
1115,měšťan,burgher/burgess (hist.)
1116,erbovní měšťan,see erbovník l.
1117,metr,metre/meter
1118,metrák,see metrický cent
1119,mikrofilm,microfilm
1120,mikrofiš,microfiche
1121,milá,"sweetheart, girlfriend, true love"
1122,česká míle,Bohemian mile(= 365 fathoms)
1123,milec,"favourite, minion"
1124,milenec,"lover, paramour"
1125,Boží milost,Divine grace
1126,z Boží milosti,by the grace of God
1127,milostivý,gracious
1128,milostnice,"mistress, paramour"
1129,milostné dobrodružství,see milostná pletka
1130,milostný poměr,love affair
1131,milostný vztah,affection
1132,milovaný,beloved
1133,milovat,"to love, to be in love"
1134,milý,"sweetheart (male), boyfriend, true love"
1135,mincmistr,master ofthe mint
1136,mincovna,mint
1137,ministerstvo,ministry
1138,klíčové ministerstvo,key ministry
1139,ministr,minister
1140,ministr zahraničních věcí,minister of foreign affairs
1141,minuskula,minuscule (paleog.)
1142,humanistická minuskula,humanist minuscule
1143,karolinská minuskula,Caroline minuscule
1144,(paleog.) minuta,minute mír peace
1145,délková míra,linear measure
1146,mírka,cubic measure (metro!.)
1147,česká mírka,see česká měřička
1148,vídeňská mírka,"Viennese mírka(= 1/32 of Viennese měřice = 1,92 )"
1149,misál,missal
1150,m1S1e,mission
1151,misijní,adj. missionary
1152,misionářský,see misijní
1153,místní,local
1154,místní jméno,place-name
1155,místnost,room
1156,královský místodržící,royal govemor
1157,místopřísežné prohlášení,affidavit
1158,miškař,"gelder, castrator"
1159,mít v držení,to hold in possession
1160,mitra,mitre/miter
1161,mizina,poverty
